Name,Rk,G,Date,Age,Tm,Venue,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Gordon Hayward,7,6,30/10/2018,28-221,BOS,Home,DET,W (+3),1,25:53:00,3,10,0.3,0,2,0,0,0,,1,3,4,3,0,0,1,0,6,2.9,-1
Gordon Hayward,8,7,1/11/2018,28-223,BOS,Home,MIL,W (+4),1,26:38:00,6,11,0.545,3,5,0.6,3,3,1,2,2,4,5,0,1,1,1,18,17.5,4
Gordon Hayward,9,8,3/11/2018,28-225,BOS,Away,IND,L (-1),1,25:42:00,2,10,0.2,0,5,0,0,0,,2,5,7,3,1,2,1,3,4,3,-9
Gordon Hayward,10,9,5/11/2018,28-227,BOS,Away,DEN,L (-8),1,25:52:00,3,7,0.429,0,2,0,2,2,1,1,8,9,2,0,0,1,2,8,7,4
Gordon Hayward,11,10,8/11/2018,28-230,BOS,Away,PHO,W (+7),1,24:54:00,3,8,0.375,2,5,0.4,0,0,,0,4,4,2,0,0,0,1,8,5.8,0
Gordon Hayward,12,11,9/11/2018,28-231,BOS,Away,UTA,L (-8),1,25:40:00,3,9,0.333,1,5,0.2,6,6,1,0,1,1,7,1,0,1,3,13,11.9,-8
Gordon Hayward,13,12,11/11/2018,28-233,BOS,Away,POR,L (-6),1,31:04:00,3,7,0.429,1,3,0.333,0,0,,1,8,9,5,1,0,1,1,7,9.5,-5
Gordon Hayward,14,13,14/11/2018,28-236,BOS,Home,CHI,W (+29),1,28:44:00,4,12,0.333,1,4,0.25,2,3,0.667,2,2,4,4,3,0,1,1,11,10.2,24
Gordon Hayward,15,14,16/11/2018,28-238,BOS,Home,TOR,W (+7),1,39:03:00,4,8,0.5,1,4,0.25,6,6,1,1,4,5,5,4,0,2,3,15,17.2,18
Gordon Hayward,16,15,17/11/2018,28-239,BOS,Home,UTA,L (-12),1,26:04:00,3,7,0.429,0,2,0,1,1,1,1,3,4,3,2,0,3,0,7,6,-11
Gordon Hayward,17,16,19/11/2018,28-241,BOS,Away,CHO,L (-5),0,30:49:00,1,6,0.167,0,3,0,2,2,1,2,6,8,4,2,0,2,0,4,6.2,-2
Gordon Hayward,18,17,21/11/2018,28-243,BOS,Home,NYK,L (-8),0,31:35:00,6,14,0.429,2,7,0.286,5,5,1,0,7,7,3,2,0,1,1,19,16.4,10
Gordon Hayward,19,18,23/11/2018,28-245,BOS,Away,ATL,W (+18),0,22:03,4,7,0.571,1,3,0.333,2,2,1,0,5,5,4,0,2,1,2,11,11.6,2
Gordon Hayward,1,1,17/10/2017,27-208,BOS,Away,CLE,L (-3),1,5:15,1,2,0.5,0,1,0,0,0,,0,1,1,,,,,,,,
Marcus Smart,1,1,16/10/2018,24-224,BOS,Home,PHI,W (+18),0,25:01:00,2,4,0.5,2,4,0.5,1,2,0.5,0,3,3,3,0,0,2,2,7,4.8,3
Marcus Smart,2,2,19/10/2018,24-227,BOS,Away,TOR,L (-12),0,21:52,1,6,0.167,0,2,0,0,0,,0,2,2,6,0,1,0,3,2,2.5,-2
Marcus Smart,3,3,20/10/2018,24-228,BOS,Away,NYK,W (+2),0,28:01:00,2,5,0.4,0,2,0,4,6,0.667,2,2,4,5,2,0,3,4,8,7.4,7
Marcus Smart,4,4,22/10/2018,24-230,BOS,Home,ORL,L (-3),0,19:20,4,8,0.5,1,4,0.25,0,0,,2,0,2,0,3,0,2,1,9,7,5
Marcus Smart,5,5,25/10/2018,24-233,BOS,Away,OKC,W (+6),0,21:23,1,4,0.25,0,3,0,0,0,,0,0,0,3,0,0,0,2,2,0.9,13
Marcus Smart,6,6,27/10/2018,24-235,BOS,Away,DET,W (+20),0,23:20,1,3,0.333,0,0,,3,3,1,0,4,4,9,0,1,1,3,5,9.3,17
Marcus Smart,7,7,30/10/2018,24-238,BOS,Home,DET,W (+3),0,19:02,0,2,0,0,2,0,3,4,0.75,0,4,4,2,2,0,2,3,3,2.6,1
Marcus Smart,8,8,1/11/2018,24-240,BOS,Home,MIL,W (+4),0,27:56:00,1,4,0.25,0,3,0,0,0,,1,3,4,0,1,1,1,4,2,0.3,-6
Marcus Smart,9,9,3/11/2018,24-242,BOS,Away,IND,L (-1),0,23:08,1,7,0.143,1,4,0.25,0,0,,0,0,0,9,3,0,2,4,3,4.2,12
Marcus Smart,10,10,5/11/2018,24-244,BOS,Away,DEN,L (-8),0,25:05:00,3,5,0.6,1,3,0.333,2,2,1,1,2,3,3,2,4,2,2,9,12.1,-10
Marcus Smart,11,11,8/11/2018,24-247,BOS,Away,PHO,W (+7),0,26:59:00,1,4,0.25,1,3,0.333,4,6,0.667,0,4,4,2,2,0,3,3,7,4.2,-2
